BK	CH	VS	OL_REF	LANG	TOKEN_NO	TOKEN	CANON_TOKEN	ATOM_VALUE	ATOM_TYPE	STATUS	REASON	SEED_LEXEME_OCCURRENCES	OL_TEXT	COVERAGE_CLASS	SEMANTIC_VALUE	AUDIT_REASON
DAN	7	7	DAN 7:7	HEB	9	רְבִיעָיָה	רְבִיעָיָה	4	ordinal	NOVEL_NUMERIC_CANDIDATE		0	בָּאתַ֣ר דְּנָה֩ חָזֵ֨ה הֲוֵ֜ית בְּחֶזְוֵ֣י לֵֽילְיָ֗א וַאֲר֣וּ חֵיוָ֣ה *רְבִיעָיָה **רְֽבִיעָאָ֡ה דְּחִילָה֩ וְאֵֽימְתָנִ֨י וְתַקִּיפָ֜א יַתִּ֗ירָא וְשִׁנַּ֨יִן דִּֽי־פַרְזֶ֥ל לַהּ֙ רַבְרְבָ֔ן אָֽכְלָ֣ה וּמַדֱּקָ֔ה וּשְׁאָרָ֖א *בְּרַגְלַיַּהּ **בְּרַגְלַ֣הּ רָפְסָ֑ה וְהִ֣יא מְשַׁנְּיָ֗ה מִן־כָּל־חֵֽיוָתָא֙ דִּ֣י קֽ͏ָדָמַ֔יהּ וְקַרְנַ֥יִן עֲשַׂ֖ר לַֽהּ׃	NUMERIC	4	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DAN	7	7	DAN 7:7	HEB	27	מְשַׁנְּיָ֗ה	מְשַׁנְּיָה	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	בָּאתַ֣ר דְּנָה֩ חָזֵ֨ה הֲוֵ֜ית בְּחֶזְוֵ֣י לֵֽילְיָ֗א וַאֲר֣וּ חֵיוָ֣ה *רְבִיעָיָה **רְֽבִיעָאָ֡ה דְּחִילָה֩ וְאֵֽימְתָנִ֨י וְתַקִּיפָ֜א יַתִּ֗ירָא וְשִׁנַּ֨יִן דִּֽי־פַרְזֶ֥ל לַהּ֙ רַבְרְבָ֔ן אָֽכְלָ֣ה וּמַדֱּקָ֔ה וּשְׁאָרָ֖א *בְּרַגְלַיַּהּ **בְּרַגְלַ֣הּ רָפְסָ֑ה וְהִ֣יא מְשַׁנְּיָ֗ה מִן־כָּל־חֵֽיוָתָא֙ דִּ֣י קֽ͏ָדָמַ֔יהּ וְקַרְנַ֥יִן עֲשַׂ֖ר לַֽהּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	7	10	DAN 7:10	HEB	9	אַלְפִים	אַלְפִים	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	נְהַ֣ר דִּי־נ֗וּר נָגֵ֤ד וְנָפֵק֙ מִן־קֳדָמ֔וֹהִי אֶ֤לֶף *אַלְפִים **אַלְפִין֙ יְשַׁמְּשׁוּנֵּ֔הּ וְרִבּ֥וֹ *רִבְּוָן **רִבְבָ֖ן קֽ͏ָדָמ֣וֹהִי יְקוּמ֑וּן דִּינָ֥א יְתִ֖ב וְסִפְרִ֥ין פְּתִֽיחוּ׃	NUMERIC	1000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DAN	7	10	DAN 7:10	HEB	12	וְרִבּ֥וֹ	וְרִבּוֹ	10000	scale10000	NOVEL_NUMERIC_CANDIDATE		0	נְהַ֣ר דִּי־נ֗וּר נָגֵ֤ד וְנָפֵק֙ מִן־קֳדָמ֔וֹהִי אֶ֤לֶף *אַלְפִים **אַלְפִין֙ יְשַׁמְּשׁוּנֵּ֔הּ וְרִבּ֥וֹ *רִבְּוָן **רִבְבָ֖ן קֽ͏ָדָמ֣וֹהִי יְקוּמ֑וּן דִּינָ֥א יְתִ֖ב וְסִפְרִ֥ין פְּתִֽיחוּ׃	NUMERIC	10000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DAN	7	10	DAN 7:10	HEB	13	רִבְּוָן	רִבְּוָן	10000	scale10000	NOVEL_NUMERIC_CANDIDATE		0	נְהַ֣ר דִּי־נ֗וּר נָגֵ֤ד וְנָפֵק֙ מִן־קֳדָמ֔וֹהִי אֶ֤לֶף *אַלְפִים **אַלְפִין֙ יְשַׁמְּשׁוּנֵּ֔הּ וְרִבּ֥וֹ *רִבְּוָן **רִבְבָ֖ן קֽ͏ָדָמ֣וֹהִי יְקוּמ֑וּן דִּינָ֥א יְתִ֖ב וְסִפְרִ֥ין פְּתִֽיחוּ׃	NUMERIC	10000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DAN	7	19	DAN 7:19	HEB	9	שָֽׁנְיָ֖ה	שָׁנְיָה	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	אֱדַ֗יִן צְבִית֙ לְיַצָּבָ֔א עַל־חֵֽיוְתָא֙ רְבִיעָ֣יְתָ֔א דִּֽי־הֲוָ֥ת שָֽׁנְיָ֖ה מִן־*כָּלְּהוֹן **כָּלְּהֵ֑ין דְּחִילָ֣ה יַתִּ֗ירָה *שִׁנַּיַּהּ **שִׁנַּ֤הּ דִּֽי־פַרְזֶל֙ וְטִפְרַ֣יהּ דִּֽי־נְחָ֔שׁ אָֽכְלָ֣ה מַדֲּקָ֔ה וּשְׁאָרָ֖א בְּרַגְלַ֥יהּ רָֽפְסָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	7	19	DAN 7:19	HEB	15	שִׁנַּיַּהּ	שִׁנַּיַּהּ	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	אֱדַ֗יִן צְבִית֙ לְיַצָּבָ֔א עַל־חֵֽיוְתָא֙ רְבִיעָ֣יְתָ֔א דִּֽי־הֲוָ֥ת שָֽׁנְיָ֖ה מִן־*כָּלְּהוֹן **כָּלְּהֵ֑ין דְּחִילָ֣ה יַתִּ֗ירָה *שִׁנַּיַּהּ **שִׁנַּ֤הּ דִּֽי־פַרְזֶל֙ וְטִפְרַ֣יהּ דִּֽי־נְחָ֔שׁ אָֽכְלָ֣ה מַדֲּקָ֔ה וּשְׁאָרָ֖א בְּרַגְלַ֥יהּ רָֽפְסָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	7	23	DAN 7:23	HEB	6	רְבִיעָיָא	רְבִיעָיָא	4	ordinal	NOVEL_NUMERIC_CANDIDATE		0	כֵּן֮ אֲמַר֒ חֵֽיוְתָא֙ רְבִיעָ֣יְתָ֔א מַלְכ֤וּ *רְבִיעָיָא **רְבִיעָאָה֙ תֶּהֱוֵ֣א בְאַרְעָ֔א דִּ֥י תִשְׁנֵ֖א מִן־כָּל־מַלְכְוָתָ֑א וְתֵאכֻל֙ כָּל־אַרְעָ֔א וּתְדוּשִׁנַּ֖הּ וְתַדְּקִנַּֽהּ׃	NUMERIC	4	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DAN	7	25	DAN 7:25	HEB	10	לְהַשְׁנָיָה֙	לְהַשְׁנָיָה	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וּמִלִּ֗ין לְצַ֤ד *עִלָּיָא **עִלָּאָה֙ יְמַלִּ֔ל וּלְקַדִּישֵׁ֥י עֶלְיוֹנִ֖ין יְבַלֵּ֑א וְיִסְבַּ֗ר לְהַשְׁנָיָה֙ זִמְנִ֣ין וְדָ֔ת וְיִתְיַהֲב֣וּן בִּידֵ֔הּ עַד־עִדָּ֥ן וְעִדָּנִ֖ין וּפְלַ֥ג עִדָּֽן׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	9	11	DAN 9:11	HEB	13	וְהַשְּׁבֻעָ֗ה	וְהַשְּׁבֻעָה	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְכָל־יִשְׂרָאֵ֗ל עָֽבְרוּ֙ אֶת־תּ֣וֹרָתֶ֔ךָ וְס֕וֹר לְבִלְתִּ֖י שְׁמ֣וֹעַ בְּקֹלֶ֑ךָ וַתִּתַּ֨ךְ עָלֵ֜ינוּ הָאָלָ֣ה וְהַשְּׁבֻעָ֗ה אֲשֶׁ֤ר כְּתוּבָה֙ בְּתוֹרַת֙ מֹשֶׁ֣ה עֶֽבֶד־הָֽאֱלֹהִ֔ים כִּ֥י חָטָ֖אנוּ לֽוֹ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	9	24	DAN 9:24	HEB	1	שָׁבֻעִ֨ים	שָׁבֻעִים	70	cardinal	NOVEL_NUMERIC_CANDIDATE		0	שָׁבֻעִ֨ים שִׁבְעִ֜ים נֶחְתַּ֥ךְ עַֽל־עַמְּךָ֣_׀ וְעַל־עִ֣יר קָדְשֶׁ֗ךָ לְכַלֵּ֨א הַפֶּ֜שַׁע *וּלַחְתֹּם **וּלְהָתֵ֤ם *חַטָּאוֹת **חַטָּאת֙ וּלְכַפֵּ֣ר עָוֺ֔ן וּלְהָבִ֖יא צֶ֣דֶק עֹֽלָמִ֑ים וְלַחְתֹּם֙ חָז֣וֹן וְנָבִ֔יא וְלִמְשֹׁ֖חַ קֹ֥דֶשׁ קָֽדָשִֽׁים׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	9	25	DAN 9:25	HEB	12	שָׁבֻעִ֖ים	שָׁבֻעִים	70	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְתֵדַ֨ע וְתַשְׂכֵּ֜ל מִן־מֹצָ֣א דָבָ֗ר לְהָשִׁיב֙ וְלִבְנ֤וֹת יְרֽוּשָׁלַ͏ִ֙ם֙ עַד־מָשִׁ֣יחַ נָגִ֔יד שָׁבֻעִ֖ים שִׁבְעָ֑ה וְשָׁבֻעִ֞ים שִׁשִּׁ֣ים וּשְׁנַ֗יִם תָּשׁוּב֙ וְנִבְנְתָה֙ רְח֣וֹב וְחָר֔וּץ וּבְצ֖וֹק הָעִתִּֽים׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	9	25	DAN 9:25	HEB	14	וְשָׁבֻעִ֞ים	וְשָׁבֻעִים	70	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְתֵדַ֨ע וְתַשְׂכֵּ֜ל מִן־מֹצָ֣א דָבָ֗ר לְהָשִׁיב֙ וְלִבְנ֤וֹת יְרֽוּשָׁלַ͏ִ֙ם֙ עַד־מָשִׁ֣יחַ נָגִ֔יד שָׁבֻעִ֖ים שִׁבְעָ֑ה וְשָׁבֻעִ֞ים שִׁשִּׁ֣ים וּשְׁנַ֗יִם תָּשׁוּב֙ וְנִבְנְתָה֙ רְח֣וֹב וְחָר֔וּץ וּבְצ֖וֹק הָעִתִּֽים׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	9	26	DAN 9:26	HEB	2	הַשָּׁבֻעִים֙	הַשָּׁבֻעִים	70	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְאַחֲרֵ֤י הַשָּׁבֻעִים֙ שִׁשִּׁ֣ים וּשְׁנַ֔יִם יִכָּרֵ֥ת מָשִׁ֖יחַ וְאֵ֣ין ל֑וֹ וְהָעִ֨יר וְהַקֹּ֜דֶשׁ יַ֠שְׁחִית עַ֣ם נָגִ֤יד הַבָּא֙ וְקִצּ֣וֹ בַשֶּׁ֔טֶף וְעַד֙ קֵ֣ץ מִלְחָמָ֔ה נֶחֱרֶ֖צֶת שֹׁמֵמֽוֹת׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	10	2	DAN 10:2	HEB	8	שָׁבֻעִ֖ים	שָׁבֻעִים	70	cardinal	NOVEL_NUMERIC_CANDIDATE		0	בַּיָּמִ֖ים הָהֵ֑ם אֲנִ֤י דָֽנִיֵּאל֙ הָיִ֣יתִי מִתְאַבֵּ֔ל שְׁלֹשָׁ֥ה שָׁבֻעִ֖ים יָמִֽים׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	10	3	DAN 10:3	HEB	17	שָׁבֻעִ֖ים	שָׁבֻעִים	70	cardinal	NOVEL_NUMERIC_CANDIDATE		0	לֶ֣חֶם חֲמֻד֞וֹת לֹ֣א אָכַ֗לְתִּי וּבָשָׂ֥ר וָיַ֛יִן לֹא־בָ֥א אֶל־פִּ֖י וְס֣וֹךְ לֹא־סָ֑כְתִּי עַד־מְלֹ֕את שְׁלֹ֥שֶׁת שָׁבֻעִ֖ים יָמִֽים׃ פ	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	5	9	DEU 5:9	HEB	18	שִׁלֵּשִׁ֥ים	שִׁלֵּשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	לֹא־תִשְׁתַּחֲוֶ֥֣ה לָהֶ֖ם֮ וְלֹ֣א תָעָבְדֵ֑ם֒ כִּ֣י אָנֹכִ֞י יְהוָ֤ה אֱלֹהֶ֙יךָ֙ אֵ֣ל קַנָּ֔א פֹּ֠קֵד עֲוֺ֨ן אָב֧וֹת עַל־בָּנִ֛ים וְעַל־שִׁלֵּשִׁ֥ים וְעַל־רִבֵּעִ֖ים לְשֹׂנְאָֽ֑י׃	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DEU	6	11	DEU 6:11	HEB	19	וְשָׂבָֽעְתָּ׃	וְשָׂבָעְתָּ	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וּבָ֨תִּ֜ים מְלֵאִ֣ים כָּל־טוּב֮ אֲשֶׁ֣ר לֹא־מִלֵּאתָ֒ וּבֹרֹ֤ת חֲצוּבִים֙ אֲשֶׁ֣ר לֹא־חָצַ֔בְתָּ כְּרָמִ֥ים וְזֵיתִ֖ים אֲשֶׁ֣ר לֹא־נָטָ֑עְתָּ וְאָכַלְתָּ֖ וְשָׂבָֽעְתָּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	7	8	DEU 7:8	HEB	7	הַשְּׁבֻעָה֙	הַשְּׁבֻעָה	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	כִּי֩ מֵֽאַהֲבַ֨ת יְהוָ֜ה אֶתְכֶ֗ם וּמִשָּׁמְר֤ו אֶת־הַשְּׁבֻעָה֙ אֲשֶׁ֤ר נִשְׁבַּע֙ לַאֲבֹ֣תֵיכֶ֔ם הוֹצִ֧יא יְהוָ֛ה אֶתְכֶ֖ם בְּיָ֣ד חֲזָקָ֑ה וַֽיִּפְדְּךָ֙ מִבֵּ֣ית עֲבָדִ֔ים מִיַּ֖ד פַּרְעֹ֥ה מֶֽלֶךְ־מִצְרָֽיִם׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	7	13	DEU 7:13	HEB	13	אֲלָפֶ֙יךָ֙	אֲלָפֶיךָ	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	וַאֲהֵ֣בְךָ֔ וּבֵרַכְךָ֖ וְהִרְבֶּ֑ךָ וּבֵרַ֣ךְ פְּרִֽי־בִטְנְךָ֣ וּפְרִֽי־אַ֠דְמָתֶךָ דְּגָ֨נְךָ֜ וְתִֽירֹשְׁךָ֣ וְיִצְהָרֶ֗ךָ שְׁגַר־אֲלָפֶ֙יךָ֙ וְעַשְׁתְּרֹ֣ת צֹאנֶ֔ךָ עַ֚ל הֽ͏ָאֲדָמָ֔ה אֲשֶׁר־נִשְׁבַּ֥ע לַאֲבֹתֶ֖יךָ לָ֥תֶת לָֽךְ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	8	10	DEU 8:10	HEB	2	וְשָׂבָ֑עְתָּ	וְשָׂבָעְתָּ	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְאָכַלְתָּ֖ וְשָׂבָ֑עְתָּ וּבֵֽרַכְתָּ֙ אֶת־יְהוָ֣ה אֱלֹהֶ֔יךָ עַל־הָאָ֥רֶץ הַטֹּבָ֖ה אֲשֶׁ֥ר נָֽתַן־לָֽךְ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	8	12	DEU 8:12	HEB	3	וְשָׂבָ֑עְתָּ	וְשָׂבָעְתָּ	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	פֶּן־תֹּאכַ֖ל וְשָׂבָ֑עְתָּ וּבָתִּ֥ים טוֹבִ֛ים תִּבְנֶ֖ה וְיָשָֽׁבְתָּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	11	15	DEU 11:15	HEB	6	וְשָׂבָֽעְתָּ׃	וְשָׂבָעְתָּ	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְנָתַתִּ֛י עֵ֥שֶׂב בְּשָׂדְךָ֖ לִבְהֶמְתֶּ֑ךָ וְאָכַלְתָּ֖ וְשָׂבָֽעְתָּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	12	6	DEU 12:6	HEB	6	מַעְשְׂרֹ֣תֵיכֶ֔ם	מַעְשְׂרֹתֵיכֶם	10	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַהֲבֵאתֶ֣ם שָׁ֗מָּה עֹלֹֽתֵיכֶם֙ וְזִבְחֵיכֶ֔ם וְאֵת֙ מַעְשְׂרֹ֣תֵיכֶ֔ם וְאֵ֖ת תְּרוּמַ֣ת יֶדְכֶ֑ם וְנִדְרֵיכֶם֙ וְנִדְבֹ֣תֵיכֶ֔ם וּבְכֹרֹ֥ת בְּקַרְכֶ֖ם וְצֹאנְכֶֽם׃	NUMERIC	1/10	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DEU	12	11	DEU 12:11	HEB	21	מַעְשְׂרֹֽתֵיכֶם֙	מַעְשְׂרֹתֵיכֶם	10	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְהָיָ֣ה הַמָּק֗וֹם אֲשֶׁר־יִבְחַר֩ יְהוָ֨ה אֱלֹהֵיכֶ֥ם בּוֹ֙ לְשַׁכֵּ֤ן שְׁמוֹ֙ שָׁ֔ם שָׁ֣מָּה תָבִ֔יאוּ אֵ֛ת כָּל־אֲשֶׁ֥ר אָנֹכִ֖י מְצַוֶּ֣ה אֶתְכֶ֑ם עוֹלֹתֵיכֶ֣ם וְזִבְחֵיכֶ֗ם מַעְשְׂרֹֽתֵיכֶם֙ וּתְרֻמַ֣ת יֶדְכֶ֔ם וְכֹל֙ מִבְחַ֣ר נִדְרֵיכֶ֔ם אֲשֶׁ֥ר תִּדְּר֖וּ לַֽיהוָֽה׃	NUMERIC	1/10	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DEU	16	9	DEU 16:9	HEB	2	שָׁבֻעֹ֖ת	שָׁבֻעֹת	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	שִׁבְעָ֥ה שָׁבֻעֹ֖ת תִּסְפָּר־לָ֑ךְ מֵהָחֵ֤ל חֶרְמֵשׁ֙ בַּקָּמָ֔ה תָּחֵ֣ל לִסְפֹּ֔ר שִׁבְעָ֖ה שָׁבֻעֽוֹת׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	19	3	DEU 19:3	HEB	4	וְשִׁלַּשְׁתָּ֙	וְשִׁלַּשְׁתָּ	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	תָּכִ֣ין לְךָ֮ הַדֶּרֶךְ֒ וְשִׁלַּשְׁתָּ֙ אֶת־גְּב֣וּל אַרְצְךָ֔ אֲשֶׁ֥ר יַנְחִֽילְךָ֖ יְהוָ֣ה אֱלֹהֶ֑יךָ וְהָיָ֕ה לָנ֥וּס שָׁ֖מָּה כָּל־רֹצֵֽחַ׃	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DEU	28	4	DEU 28:4	HEB	9	אֲלָפֶ֖יךָ	אֲלָפֶיךָ	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	בָּר֧וּךְ פְּרִֽי־בִטְנְךָ֛ וּפְרִ֥י אַדְמָתְךָ֖ וּפְרִ֣י בְהֶמְתֶּ֑ךָ שְׁגַ֥ר אֲלָפֶ֖יךָ וְעַשְׁתְּר֥וֹת צֹאנֶֽךָ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	28	18	DEU 28:18	HEB	7	אֲלָפֶ֖יךָ	אֲלָפֶיךָ	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	אָר֥וּר פְּרִֽי־בִטְנְךָ֖ וּפְרִ֣י אַדְמָתֶ֑ךָ שְׁגַ֥ר אֲלָפֶ֖יךָ וְעַשְׁתְּר֥וֹת צֹאנֶֽךָ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	28	51	DEU 28:51	HEB	16	אֲלָפֶ֖יךָ	אֲלָפֶיךָ	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	וְ֠אָכַל פְּרִ֨י בְהֶמְתְּךָ֥ וּפְרִֽי־אַדְמָתְךָ֮ עַ֣ד הִשָּֽׁמְדָךְ֒ אֲשֶׁ֨ר לֹֽא־יַשְׁאִ֜יר לְךָ֗ דָּגָן֙ תִּיר֣וֹשׁ וְיִצְהָ֔ר שְׁגַ֥ר אֲלָפֶ֖יךָ וְעַשְׁתְּרֹ֣ת צֹאנֶ֑ךָ עַ֥ד הַאֲבִיד֖וֹ אֹתָֽךְ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DEU	33	2	DEU 33:2	HEB	12	מֵרִבְבֹ֣ת	מֵרִבְבֹת	10000	scale10000	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּאמַ֗ר יְהוָ֞ה מִסִּינַ֥י בָּא֙ וְזָרַ֤ח מִשֵּׂעִיר֙ לָ֔מוֹ הוֹפִ֙יעַ֙ מֵהַ֣ר פָּארָ֔ן וְאָתָ֖ה מֵרִבְבֹ֣ת קֹ֑דֶשׁ מִֽימִינ֕וֹ *אֵשׁדָּת **אֵ֥שׁ **דָּ֖ת לָֽמוֹ׃	NUMERIC	10000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
ECC	4	9	ECC 4:9	HEB	2	הַשְּׁנַ֖יִם	הַשְּׁנַיִם	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	טוֹבִ֥ים הַשְּׁנַ֖יִם מִן־הָאֶחָ֑ד אֲשֶׁ֧ר יֵשׁ־לָהֶ֛ם שָׂכָ֥ר ט֖וֹב בַּעֲמָלָֽם׃	NUMERIC	2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
ECC	4	12	ECC 4:12	HEB	4	הַשְּׁנַ֖יִם	הַשְּׁנַיִם	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וְאִֽם־יִתְקְפוֹ֙ הָאֶחָ֔ד הַשְּׁנַ֖יִם יַעַמְד֣וּ נֶגְדּ֑וֹ וְהַחוּט֙ הַֽמְשֻׁלָּ֔שׁ לֹ֥א בִמְהֵרָ֖ה יִנָּתֵֽק׃	NUMERIC	2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
ECC	4	12	ECC 4:12	HEB	8	הַֽמְשֻׁלָּ֔שׁ	הַמְשֻׁלָּשׁ	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְאִֽם־יִתְקְפוֹ֙ הָאֶחָ֔ד הַשְּׁנַ֖יִם יַעַמְד֣וּ נֶגְדּ֑וֹ וְהַחוּט֙ הַֽמְשֻׁלָּ֔שׁ לֹ֥א בִמְהֵרָ֖ה יִנָּתֵֽק׃	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
ECC	5	11	ECC 5:11	HEB	9	וְהַשָּׂבָע֙	וְהַשָּׂבָע	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	מְתוּקָה֙ שְׁנַ֣ת הָעֹבֵ֔ד אִם־מְעַ֥ט וְאִם־הַרְבֵּ֖ה יֹאכֵ֑ל וְהַשָּׂבָע֙ לֶֽעָשִׁ֔יר אֵינֶ֛נּוּ מַנִּ֥יחַֽ ל֖וֹ לִישֽׁוֹן׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
ECC	10	6	ECC 10:6	HEB	5	וַעֲשִׁירִ֖ים	וַעֲשִׁירִים	10	ordinal	NOVEL_NUMERIC_CANDIDATE		0	נִתַּ֣ן הַסֶּ֔כֶל בַּמְּרוֹמִ֖ים רַבִּ֑ים וַעֲשִׁירִ֖ים בַּשֵּׁ֥פֶל יֵשֵֽׁבוּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
ECC	11	6	ECC 11:6	HEB	20	כְּאֶחָ֖ד	כְּאֶחָד	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	בַּבֹּ֙קֶר֙ זְרַ֣ע אֶת־זַרְעֶ֔ךָ וְלָעֶ֖רֶב אַל־תַּנַּ֣ח יָדֶ֑ךָ כִּי֩ אֵֽינְךָ֨ יוֹדֵ֜ע אֵ֣י זֶ֤ה יִכְשָׁר֙ הֲזֶ֣ה אוֹ־זֶ֔ה וְאִם־שְׁנֵיהֶ֥ם כְּאֶחָ֖ד טוֹבִֽים׃	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EPH	2	14	EPH 2:14	GRK	11	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	Αὐτὸς γάρ ἐστιν ἡ εἰρήνη ἡμῶν, ὁ ποιήσας τὰ ἀμφότερα ἓν καὶ τὸ μεσότοιχον τοῦ φραγμοῦ λύσας, τὴν ἔχθραν ἐν τῇ σαρκὶ αὐτοῦ,	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EPH	4	4	EPH 4:4	GRK	1	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	ἓν σῶμα καὶ ἓν πνεῦμα, καθὼς καὶ ἐκλήθητε ἐν μιᾷ ἐλπίδι τῆς κλήσεως ὑμῶν·	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EPH	4	4	EPH 4:4	GRK	4	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	ἓν σῶμα καὶ ἓν πνεῦμα, καθὼς καὶ ἐκλήθητε ἐν μιᾷ ἐλπίδι τῆς κλήσεως ὑμῶν·	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
